63244	119280	101860
63244	119280	114992
63244	119280	119097
63244	119280	119159
63244	119280	119178
63244	119280	125006
63244	119280	125023
63244	119280	125047
63244	119280	125109
63244	119280	125125
63244	119280	125142
63244	119280	125148
63244	119280	125159
63244	119280	125160
63244	119280	125181
63244	119280	125232
63244	119280	125302
63244	119280	125303
63244	119280	125378
63244	119280	125379
63244	119280	125408
63244	119280	125416
63244	119280	125422
63244	119280	125434
63244	119280	125450
63244	119280	125561
63244	119280	125658
63244	119280	125665
63244	119280	125681
63244	119280	125682
63244	119280	125755
63244	119280	125760
63244	119280	125794
63244	119280	125888
63244	119280	125892
63244	119280	125894
63244	119280	125897
63244	119280	125898
63244	119280	125938
63244	119280	126087
63244	119280	126109
63244	119280	126112
63244	119280	126113
63244	119280	126177
63244	119280	126489
63244	119280	126571
63244	119280	126659
63244	119280	126667
63244	119280	126724
63244	119280	126730
63244	119280	126736
63244	119280	126827
63244	119280	126875
63244	119280	126887
63244	119280	126888
63244	119280	126956
63244	119280	126957
63244	119280	127011
63244	119280	127020
63244	119280	127039
63244	119280	127049
63244	119280	127061
63244	119280	127092
63244	119280	127098
63244	119280	127107
63244	119280	127110
63244	119280	127144
63244	119280	127166
63244	119280	127181
63244	119280	127245
63244	119280	127252
63244	119280	127264
63244	119280	127275
63244	119280	127424
63244	119280	127459
63244	119280	127461
63244	119280	127606
63244	119280	127724
63244	119280	127734
63244	119280	127790
63244	119280	127801
63244	119280	127848
63244	119280	127864
63244	119280	127898
63244	119280	127942
63244	119280	127956
63244	119280	127962
63244	119280	128012
63244	119280	128097
63244	119280	128104
63244	119280	128105
63244	119280	128122
63244	119280	128305
63244	119280	128348
63244	119280	128921
63244	119280	128987
63244	119280	130248
63244	119280	131443
63244	119280	131444
63244	119280	131446
63244	119280	131447
63244	119280	131517
63244	119280	131535
63244	119280	131539
63244	119280	131540
63244	119280	131541
63244	119280	131546
63244	119280	131561
63244	119280	131575
63244	119280	131576
63244	119280	131577
63244	119280	131584
63244	119280	131606
63244	119280	134780
63244	119280	134781
63244	119280	134873
63244	119280	134931
63244	119280	135185
63244	119280	136726
63244	119280	137705
63244	119280	140181
63244	119280	141571
63244	119280	143630
63244	119280	143859
63244	119280	144220
63244	119280	144221
63244	119280	146365
63244	119280	148882
63244	119280	149192
63244	119280	152901
63244	119280	152902
63244	119280	152903
63244	119280	152904
63244	119280	152905
63244	119280	152906
63244	119280	158329
63244	119280	164338
63244	119280	176844
63244	119280	179836
63244	119280	179837
63244	119280	182090
63244	119280	184631
63244	119280	184632
63244	119280	184935
63244	119280	189659
63244	119280	199357
63244	119280	200006
63244	119280	201288
63244	119280	204293
63244	119280	217509
63244	119280	221100
63244	119280	221101
63244	119280	223724
63244	119280	224249
63244	119280	230796
63244	119280	230926
63244	119280	232227
63244	119280	60984
63244	119280	60985
